Nombre;Tipo;Categoria;Varios;Poblacion;Municipio;Coordenadas;Identificador;Fecha;Categoría de imágenes en Commons;
Iglesia Parroquial de la Asunción - Iglesia Románica de la Transición;Monumento;Iglesia;;Santiurde de Toranzo;Acereda;43°13′47″N 3°56′12″O;RI-51-0005045;21 de diciembre de 1984;
Palacio de Cerecedo;Monumento;Palacio;;Bárcena de Cicero;Adal;43°23′43″N 3°28′44″O;RI-51-0005201;15 de diciembre de 1989;
Conjunto Histórico Artístico Lugar de Agüero;Conjunto histórico artístico;;;Marina de Cudeyo;Agüero;43°24′52″N 3°43′24″O;RI-53-0000335;29 de marzo de 1985;Principal: Conjunto histórico artístico de Agüero
Lugar de Alceda;Conjunto histórico;;;Corvera de Toranzo;Alceda;43°11′32″N 3°54′55″O;RI-53-0000334;29 de marzo de 1985;Principal: Alceda
Cueva del Calero II;Zona arqueológica;;;Piélagos;Arce;43°24′02″N 3°56′24″O;RI-55-0000576;24 de junio de 1997;
Palacio del Marqués de la Conquista Real;Monumento;Palacio;;Piélagos;Arce;43°24′57″N 3°56′17″O;RI-51-0006828;9 de mayo de 1994;Principal: Palace of the Marquess of the Conquista Real
Puente Viejo de Oruña;Monumento;Puente;;Piélagos;Arce;43°24′11″N 3°56′51″O;RI-51-0005041;20 de diciembre de 1984;Principal: Bridge of Arce
Iglesia Románica de San Andrés;Monumento;Iglesia;;Santa María de Cayón;Argomilla;43°18′15″N 3°52′37″O;RI-51-0004557;15 de enero de 1982;
Castillo de San Vicente;Monumento;Castillo;;Hermandad de Campoo de Suso;Argüeso;43°02′01″N 4°12′14″O;RI-51-0004912;13 de julio de 1983;Principal: Castle of Argüeso
Iglesia Rupestre de Arroyuelos;Monumento;Iglesia;;Valderredible;Arroyuelos;42°50′31″N 3°51′38″O;RI-51-0011062;18 de diciembre de 2003;
Conjunto histórico de Bárcena Mayor;Conjunto histórico;;;Los Tojos;Bárcena Mayor;43°08′35″N 4°11′36″O;RI-53-0000228;7 de diciembre de 1979;Principal: Bárcena Mayor
Estela Gigante;Zona arqueológica;;;Los Corrales de Buelna;Barros;;RI-55-0000124;14 de marzo de 1985;Principal: Giant stele
Ermita de San Román de Moroso;Monumento;Ermita;;Arenas de Iguña;Bostronizo;43°13′12″N 4°03′16″O;RI-51-0000858;3 de junio de 1931;Principal: Hermitage of San Román de Moroso
Torre de Cabanzón;Monumento;Arquitectura defensiva - Época: Siglo XII;;Herrerías;Cabanzón;43°19′11″N 4°29′50″O;RI-51-0007170;4 de febrero de 1992;Principal: Tower of Cabanzón
Iglesia Rupestre;Monumento;Iglesia;;Valderredible;Cadalso;42°50′03″N 3°53′11″O;RI-51-0004907;29 de junio de 1983;
Torre de Cadalso;Monumento;Torre;;Valderredible;Cadalso;42°49′59″N 3°53′07″O;RI-51-0007168;4 de febrero de 1992;Principal: Tower of Cadalso
Ermita de Nuestra Señora de la Asunción;Monumento;Ermita;;Pesaguero;Caloca;43°02′36″N 4°33′45″O;RI-51-0007058;24 de junio de 1996;Principal: Ermita de Nuestra Señora de la Asunción, Caloca
Iglesia Rupestre de Campo de Ebro;Monumento;Iglesia;;Valderredible;Campo de Ebro;42°47′46″N 3°57′58″O;RI-51-0005060;14 de marzo de 1985;
Lugar de Carmona, juntamente con el barrio de San Pedro;Conjunto histórico;;;Cabuérniga;Carmona;43°15′15″N 4°21′30″O;RI-53-0000340;7 de junio de 1985;Principal: Carmona (Cantabria)
Torre de Venero;Monumento;Torre;;Arnuero;Castillo;43°27′16″N 3°32′44″O;RI-51-0006834;20 de abril de 1992;Principal: Tower of Venero
Yacimiento arqueológico del Castro de Las Rabas;Zona arqueológica;;;Campoo de Enmedio;Celada Marlantes;42°56′55″N 4°07′05″O;RI-55-0000759;22 de abril de 2004;
Cueva del Porquerizo;Monumento;Cueva;;Rionansa;Celis;;RI-51-0010518;22 de marzo de 2000;
Colegiata de San Pedro;Monumento;Colegiata;;Campoo de Enmedio;Cervatos;42°57′21″N 4°08′55″O;RI-51-0000068;2 de agosto de 1895;Principal: Colegiata de Cervatos
Iglesia de San Martín;Monumento;Arquitectura religiosa;Época: Siglo XVIII;Alfoz de Lloredo;Cigüenza;43°23′14″N 4°10′58″O;RI-51-0007217;20 de abril de 1992;Principal: Church of San Martín de Tours, Cigüenza
Casa Solariega de Díaz de Villegas y finca anexa, con su portalada y cerramiento;Monumento;Casa;;Corvera de Toranzo;Corvera;43°16′00″N 3°56′49″O;RI-51-0007186;31 de enero de 1992;Principal: Manor house of Díaz de Villegas
Cargadero de Mioño;Monumento;Muelle;;Castro Urdiales;Dícido, Mioño;43°22′09″N 3°11′42″O;RI-51-0002323;;Principal: Cargadero de Mineral de Mioño, Castro Urdiales
Cueva del Pendo;Zona arqueológica;;;Camargo;Escobedo de Camargo;43°29′17″N 3°09′13″O;RI-55-0000575;24 de junio de 1997;Principal: El Pendo cave
Yacimiento arqueológico del Castillo del Collado;Zona arqueológica;;;Camargo;Escobedo de Camargo;43°24′13″N 3°53′28″O;RI-55-0000757;1 de abril de 2004;Principal: Castillo del Collado, Camargo
Torre de Estrada;Monumento;Torre;;Val de San Vicente;Estrada;43°21′30″N 4°26′45″O;RI-51-0007167;4 de febrero de 1992;
Torre de Gajano;Monumento;Torre;;Marina de Cudeyo;Gajano;43°24′38″N 3°46′13″O;RI-51-0007163-00001;1 de diciembre de 2005;Principal: Tower of Gajano
Palacio de La Colina;Monumento;Palacio;;Barcena de Cicero;Gama;43°25′11″N 3°30′58″O;RI-51-0005052;21 de diciembre de 1984;
Portalada del Siglo XVIII en el Barrio del Cristo;Monumento;;;Barcena de Cicero;Gama;43°24′44″N 3°30′46″O;RI-51-0005051;21 de diciembre de 1984;Principal: Portalada de la casona de Juan Valle Rozadilla
Torre de Alvarado;Monumento;Torre;;Medio Cudeyo;Heras;43°23′44″N 3°45′56″O;RI-51-0012069;25 de junio de 1985;Principal: Tower of Alvarado
Cueva de las Monedas;Monumento;Cueva;;Puente Viesgo;Hijas;43°17′20″N 3°58′03″O;RI-51-0004287-00001;23 de junio de 1978;Principal: Las Monedas cave
Edificio denominado El Desierto;Monumento;Casa;;Ribamontán al Monte;Hoz de Anero;43°24′49″N 3°40′40″O;RI-51-0004257;15 de octubre de 1977;Principal: Building El Desierto
Santuario de la Virgen de la Bien Aparecida;Conjunto histórico;Iglesia;;Ampuero;Hoz de Marrón;43°19′37″N 3°27′06″O;RI-53-0000293;4 de agosto de 1983;Principal: Bien Aparecida Sanctuary
Palacio de los Acebedo;Monumento;Palacio;;Entrambasaguas;Hoznayo;43°23′20″N 3°42′02″O;RI-51-0004338;20 de febrero de 1979;Principal: Palace of Acebedo
Cueva del Juyo;Zona arqueológica;;;Camargo;Igollo;;RI-55-0000557;24 de junio de 1997;
Casco Histórico de Isla;Sitio histórico;;;Arnuero;Isla;43°29′35″N 3°34′10″O;RI-54-0000183;22 de enero de 2004;Principal: Isla
Palacio de los Condes de Isla-Fernández;Monumento;Palacio;;Arnuero;Isla;43°29′45″N 3°34′10″O;RI-51-0006841;16 de octubre de 1991;Principal: Palace of the counts of Isla-Fernández
Torre de Cabrahigo;Monumento;Torre;;Arnuero;Isla;43°29′23″N 3°34′17″O;RI-51-0007161;4 de febrero de 1992;Principal: Tower of Cabrahigo
Torre del Rebollar;Monumento;Torre;;Arnuero;Isla;43°29′16″N 3°33′51″O;RI-51-0007160;4 de febrero de 1992;Principal: Torre del Rebollar
Cueva de El Linar o de la Busta;Zona arqueológica;;Edad de Bronce;Alfoz de Lloredo;La Busta;;RI-55-0000568;24 de junio de 1997;
Iglesia de Nuestra Señora de Miera;Monumento;Iglesia;;Miera;La Cárcoba;43°16′28″N 3°42′48″O;RI-51-0005311;2 de septiembre de 1988;Principal: Church of Santa María de la Asunción, La Cárcoba
Real Fábrica de Cañones de La Cavada;Conjunto histórico;Fábrica;;Riotuerto;La Cavada;43°21′10″N 3°42′27″O;RI-53-0000563;1 de abril de 2004;Principal: Royal Artillery Factory, La Cavada
Finca de Riosequillo;Monumento;;;Villaescusa;La Concha;43°22′08″N 3°51′15″O;RI-51-0005044;21 de diciembre de 1984;Principal: Finca de Riosequillo
Torre de los Bustamante;Monumento;Torre;Zona arqueológica;Campoo de Yuso;La Costana;43°00′56″N 4°00′04″O;RI-51-0005054;28 de diciembre de 1984;
Cueva de las Brujas (Suances);Zona arqueológica;;;Suances;La Gerra;;RI-55-0000571;24 de junio de 1997;
Iglesia de Santa Eulalia;Monumento;Iglesia;;Valdeolea;La Loma;42°56′05″N 4°12′08″O;RI-51-0005323;26 de abril de 1993;
Cueva de la Maza en La Molina;Zona arqueológica;;;Comillas;La Molina;;RI-55-0000558;24 de junio de 1997;
Campamento romano de El Cincho;;;;Campoo de Yuso;La Población;43°02′03″N 3°56′43″O;RI-55-0000750;15 de abril de 2004;
Palacio de Cuesta Mercadillo;Monumento;Arquitectura civil;;Liérganes;La Rañada;43°20′13″N 3°44′41″O;RI-51-0006824;9 de mayo de 1994;Principal: Palace of La Rañada
Iglesia de Santa Juliana;Monumento;Arquitectura religiosa - Estilo: Románico - Época: Siglo XIII;;Lamasón;Lafuente;43°15′15″N 4°30′35″O;RI-51-0004998;28 de diciembre de 1983;Principal: Church of Santa Juliana, La Fuente
Santuario de Nuestra Señora de Las Caldas;Monumento;Monasterio;;Los Corrales de Buelna;Las Caldas del Besaya;43°17′55″N 4°04′33″O;RI-51-0010672;15 de abril de 2002;Principal: Sanctuary of Nuestra Señora de Las Caldas
Iglesia de Santa María la Real;Monumento;Iglesia;;Valdeolea;Las Henestrosas de las Quintanillas;42°52′20″N 4°11′42″O;RI-51-0004554;29 de diciembre de 1981;
Iglesia de Santa María;Monumento;Iglesia;;Cillorigo de Liébana;Lebeña;43°12′56″N 4°35′26″O;RI-51-0000064;27 de marzo de 1893;Principal: Santa María de Lebeña
Castillo de Pedraja;Zona arqueológica;;;Piélagos;Liencres;43°27′17″N 3°55′46″O;RI-55-0000811;26 de agosto de 2004;Principal: Castle of Pedraja
Torre de los Linares;Monumento;Torre;;Peñarrubia;Linares;43°15′14″N 4°34′59″O;RI-51-0007164;4 de febrero de 1992;Principal: Torre de Linares
Torre de Pero Niño;Monumento;Arquitectura defensiva;;San Felices de Buelna;Llano;43°16′41″N 4°03′09″O;RI-51-0004954;13 de octubre de 1983;
Iglesia de San Juan Bautista;Monumento;Arquitectura religiossa;Iglesia;Camargo;Maliaño;43°25′03″N 3°49′51″O;RI-51-0005282;18 de marzo de 1993;Principal: Church of San Juan Bautista, Maliaño
Yacimiento arqueológico del cementerio de Maliaño;Zona arqueológica;;;Camargo;Maliaño;;RI-55-0000631;14 de marzo de 2002;Principal: Archaeological site of the cementery of Maliaño
Iglesia de San Juan Bautista;Monumento;Iglesia;;Valdeolea;Mata de Hoz;42°56′01″N 4°13′10″O;RI-51-0005339;30 de junio de 1993;
Cueva de Emboscados;Zona arqueológica;;;Ruesga;Matienzo;;RI-55-0000574;24 de junio de 1997;
Cueva del Cofresnedo;Zona arqueológica;;;Ruesga;Matienzo;;RI-55-0000573;24 de junio de 1997;
Cueva del Patatal;Zona arqueológica;;;Ruesga;Matienzo;;RI-55-0000572;24 de junio de 1997;
Cueva del Risco;Monumento;Cueva;;Ruesga;Matienzo;;RI-51-0011566;1 de diciembre de 2005;
Palacio de Peredo;Monumento;Palacio;;Santillana del Mar;Mijares;43°22′07″N 4°05′00″O;RI-51-0007050;5 de enero de 1995;Principal: Palace of Peredo, Mijares
Conjunto Histórico- Lugar de Mogrovejo;Conjunto histórico;;;Camaleño;Mogrovejo;43°08′50″N 4°42′35″O;RI-53-0000331;29 de marzo de 1985;Principal: Mogrovejo
Convento de los Padres Capuchinos;Monumento;Monasterio;;Escalante;Montehano;43°25′46″N 3°29′23″O;RI-51-0004534;6 de noviembre de 1981;Principal: Convent of Padres Capuchinos, Montehano
Cueva del Salín;Monumento;Cueva;;Val de San Vicente;Muñorrodero;;RI-51-0010517;22 de marzo de 2000;
Casa Museo y Finca de Velarde;Conjunto histórico;;;Camargo;Muriedas;43°25′15″N 3°51′11″O;RI-53-0000330;29 de marzo de 1985;Principal: Museo Etnográfico de Cantabria
Torre del Marqués de Villapuente;Monumento;Torre;;Camargo;Muriedas;43°25′24″N 3°51′18″O;RI-51-0004593;12 de febrero de 1982;Principal: Town hall of Camargo (Palacio del Marqués de Villapuente)
Cueva de los Santos o de las Aguas;Zona arqueológica;;;Alfoz de Lloredo;Novales;;RI-55-0000559;24 de junio de 1997;
Torre de Rubin de Celis;Monumento;Torre;;Rionansa;Obeso;43°15′19″N 4°25′21″O;RI-51-0007165;4 de febrero de 1992;Principal: Tower of Rubin de Celis
Ermita de San Miguel;Monumento;Ermita;;Valdeolea;Olea;42°56′14″N 4°10′34″O;RI-51-0004349;4 de abril de 1979;
Cueva de Cualventi;Monumento;Arte rupestre;Magdaleniense;Alfoz de Lloredo;Oreña;;RI-51-0005065;14 de marzo de 1985;
Cueva Grande o de los Corrales;Monumento;Cueva;;Castro-Urdiales;Otañes;;RI-51-0010201;7 de abril de 1998;
Palacio y Museo de Elsedo - Palacio de Torre Hermosa;Monumento;Arquitectura civil;;Liérganes;Pámanes;43°21′26″N 3°47′46″O;RI-51-0004939;21 de septiembre de 1983;Principal: Palace of Elsedo
Iglesia de Santa María;Monumento;Arquitectura relegiosa;Estilo: Románico - Siglo XII;Cabezón de Liébana;Piasca;43°07′10″N 4°34′49″O;RI-51-0000347;4 de julio de 1930;Principal: Colegiata de Santa María de Piasca
Cueva de Covanegra-sotarriza;Zona arqueológica;;;Ramales de la Victoria;Pondra;;RI-55-0000564;24 de junio de 1997;
Cueva de Pondra;Zona arqueológica;;;Ramales de la Victoria;Pondra;;RI-55-0000562;24 de junio de 1997;
Cueva del Arco A;Zona arqueológica;;;Ramales de la Victoria;Pondra;;RI-55-0000565;24 de junio de 1997;
Cueva del Arco B;Zona arqueológica;;;Ramales de la Victoria;Pondra;;RI-55-0000566;24 de junio de 1997;
Cueva del Arco C;Zona arqueológica;;;Ramales de la Victoria;Pondra;;RI-55-0000567;24 de junio de 1997;
Cueva del Morro de Oridillo;Zona arqueológica;;;Ramales de la Victoria;Pondra;;RI-55-0000563;24 de junio de 1997;
Yacimiento arqueológico del Castro de Castillo;Zona arqueológica;;;Val de San Vicente;Prellezo;43°23′46″N 4°26′17″O;RI-55-0000758;29 de abril de 2004;
Torre Medieval y Casa Solariega anexa a la misma;Monumento;Torre;;Hermandad de Campoo de Suso;Proaño;43°01′47″N 4°14′47″O;RI-51-0005056;22 de febrero de 1984;
"Finca de la sociedad ""Puente San Miguel S.A.""";Jardín histórico;;;Reocín;Puente San Miguel;43°21′44″N 4°05′27″O;RI-52-0000076;28 de noviembre de 1986;
Cueva de La Estación;Zona arqueológica;Arte rupestre;;Reocín;Quijas;;RI-55-0000569;24 de junio de 1997;
Cueva de la Lora o de La Clotilde;Zona arqueológica;;;Reocín;Quijas;;RI-55-0000570;24 de junio de 1997;
Palacio y Torre de Bustamante;Monumento;Arquitectura defensiva;;Reocín;Quijas;43°21′06″N 4°07′33″O;RI-51-0004721;15 de octubre de 1982;Principal: Palace and tower of Bustamante
Torre de Quintana;Monumento;Torre;;Soba;Quintana;43°10′58″N 3°33′47″O;RI-51-0007166;4 de febrero de 1992;
Cueva de Cullalvera;Zona arqueológica;;;Ramales de la Victoria;Ramales;43°15′20″N 3°27′30″O;RI-55-0000561;24 de junio de 1997;Principal: Cullalvera Cave
Cueva del Haza O Cueva de la Virgen;Zona arqueológica;;;Ramales de la Victoria;Ramales;;RI-55-0000560;24 de junio de 1997;Principal: Cave of El Haza, Ramales de la Victoria
Ciudad Romana de Julióbriga;Zona arqueológica;;;Campoo de Enmedio;Retortillo;42°58′36″N 4°06′58″O;RI-55-0000125;14 de marzo de 1985;Principal: Julióbriga
Iglesia de Santa María;Monumento;Iglesia;;Campoo de Enmedio;Retortillo;42°59′08″N 4°06′49″O;RI-51-0005324;30 de junio de 1993;Principal: Church of Santa María de Retortillo
Cueva de Micolón;Monumento;Cueva;;Rionansa;Riclones;;RI-51-0010519;22 de marzo de 2000;
Cueva del Chufin y Chufin IV;Monumento;Cueva;;Rionansa;Riclones;;RI-51-0010522;27 de marzo de 2000;
Riocorvo;Conjunto histórico artístico;;;Cartes;Riocorvo;43°18′45″N 4°04′39″O;RI-53-0000243;24 de abril de 1981;Principal: Conjunto histórico artístico de Riocorvo, Cantabria
Casa de la Torre;Monumento;Casa;;Valdaliga;Roiz;43°19′33″N 4°21′05″O;RI-51-0005040;20 de diciembre de 1984;
Abrigo del Cubular;Zona arqueológica;;;Valderredible;Ruanales;;RI-55-0000849;26 de enero de 2006;
Iglesia Parroquial de Rucandio;Monumento;Iglesia;;Riotuerto;Rucandio;43°20′34″N 3°43′12″O;RI-51-0005204;2 de septiembre de 1988;Principal: Church of Santa María Magdalena, Rucandio
Torre de Ruerrero;Monumento;Torre;;Valderredible;Ruerrero;42°50′00″N 3°54′23″O;RI-51-0007169;4 de febrero de 1992;
Colegiata de San Martín de Elines;Monumento;Colegiata;;Valderredible;San Martín de Elines;42°49′44″N 3°52′09″O;RI-51-0000857;3 de junio de 1931;
Iglesia Románica de San Martín;Monumento;Iglesia;;Valdeolea;San Martín de Hoyos;42°55′54″N 4°09′15″O;RI-51-0004749;12 de noviembre de 1982;
Torre Medieval de San Martín de Hoyos;Monumento;Torre;;Valdeolea;San Martín de Hoyos;42°55′47″N 4°09′24″O;RI-51-0011109;6 de mayo de 2004;
Torre de Quevedo;Monumento;Torre;;Molledo;San Martín de Quevedo;43°07′43″N 4°02′23″O;RI-51-0007266;6 de agosto de 1992;
Iglesia Románica de San Martín;Monumento;Iglesia;;Valderredible;San Martín de Valdelomar;42°47′47″N 4°08′48″O;RI-51-0005322;30 de junio de 1993;Principal: Iglesia románica de San Martín de Valdelomar
Cueva de Cobrantes;Monumento;Cueva;;Voto;San Miguel de Aras;43°19′10″N 3°31′43″O;RI-51-0005062;14 de marzo de 1985;
Casona Bedoya-Soberon;Monumento;Casa;;Cillorigo de Liébana;San Pedro;43°10′49″N 4°34′02″O;RI-51-0007152;24 de junio de 1996;Principal: Casona Bedoya-Soberon
Casona de Calderón de la Barca;Monumento;Casa;;Corvera de Toranzo;San Vicente de Toranzo;43°12′38″N 3°56′26″O;RI-51-0007211;27 de marzo de 1992;Principal: Casona de Calderón de la Barca
Torre de Agüero;Monumento;Torre;;Corvera de Toranzo;San Vicente de Toranzo;43°12′43″N 3°56′12″O;RI-51-0007162;4 de febrero de 1992;Principal: Torre de Agüero
Cueva de la Lastrilla;Monumento;Cueva;;Castro Urdiales;Sangaro;;RI-51-0010197;7 de abril de 1998;
Yacimiento arqueológico de Santa María de Hito;Zona arqueológica;;;Valderredible;Santa María de Hito;42°50′41″N 3°52′31″O;RI-55-0000749;18 de diciembre de 2003;
Iglesia Rupestre de Santa María de Valverde;Monumento;Iglesia;;Valderredible;Santa María de Valverde;42°47′36″N 4°08′25″O;RI-51-0005061;14 de marzo de 1985;
Monasterio de Santo Toribio de Liébana;Monumento;Monasterio;;Camaleño;Santo Toribio;43°09′01″N 4°39′16″O;RI-51-0001242;11 de agosto de 1953;Principal: Monastery of Santo Toribio de Liébana
Iglesia Parroquial de Silió;Monumento;Iglesia;;Molledo;Silió;43°08′55″N 4°01′07″O;RI-51-0003847;23 de abril de 1970;Principal: Church of San Facundo y San Primitivo, Silió
Casa Solariega de los Cuetos;Monumento;Casa;;Medio Cudeyo;Sobremazas;43°22′25″N 3°45′06″O;RI-51-0005046;21 de diciembre de 1984;Principal: Manor house of los Cuetos
Colegiata de la Santa Cruz;Monumento;Colegiata;;Castañeda;Socobio;43°18′52″N 3°56′32″O;RI-51-0000352;7 de noviembre de 1930;Principal: Collegiate of Santa Cruz de Castañeda
Iglesia rupestre de San Juan;Monumento;Iglesia;;Arredondo;Socueva;43°15′59″N 3°36′49″O;RI-51-0005063;14 de marzo de 1985;
Palacio de los Marqueses de Valbuena;Monumento;Palacio;;Medio Cudeyo;Solares;43°23′06″N 3°44′22″O;RI-51-0005047;21 de diciembre de 1984;Principal: Palace of Marquesses of Valbuena
Cueva de Hornos de la Peña;Monumento;Cueva;;San Felices de Buelna;Tarriba;;RI-51-0000268;25 de abril de 1924;Principal: Hornos de la Pena cave
Casa del Padre Rábago;Sitio histórico;;;Polaciones;Tresabuela;43°05′10″N 4°25′41″O;RI-54-0000184;22 de enero de 2004;Principal: House of Padre Rábago
Rollo Heráldico;Monumento;;;Villafufre;Vega de Villafufre;43°15′29″N 3°50′57″O;RI-51-0010785;3 de abril de 2002;Principal: Rollo heráldico de Villafufre
Torre Medieval de Velo de Puente Arce;Monumento;Torre;;Piélagos;Velo de Puente Arce;43°24′25″N 3°56′06″O;RI-51-0004955;13 de octubre de 1983;Principal: Tower of Velo
Cueva de los Marranos;Monumento;Período: Paleolítico;;Lamasón;Venta de Fresnedo;;RI-51-0010520;22 de marzo de 2000;
Iglesia de Santa María la Mayor;Monumento;Iglesia;;Hermandad de Campóo de Suso;Villacantid.;43°00′13″N 4°12′26″O;RI-51-0004566;15 de enero de 1982;
Iglesia de Santa Cecilia;Monumento;Iglesia;;Santiurde de Toranzo;Villasevil;43°15′10″N 3°56′10″O;RI-51-0004284;23 de junio de 1978;
Torre de Villegas;Monumento;Torre;;Santiurde de Toranzo;Villasevil;;RI-51-0007171;4 de febrero de 1992;
Iglesia de Santa María;Monumento;Iglesia;;Cartes;Yermo;43°18′29″N 4°04′56″O;RI-51-0000345;4 de julio de 1930;Principal: Church of Santa María, Yermo
Casona de Espina con su torre y portalada;Monumento;Casa;;Ampuero;Ampuero;43°20′31″N 3°24′34″O;RI-51-0007322;7 de diciembre de 1994;Principal: Casona de Espina
Iglesia de Santa Marina;Monumento;Iglesia;;Ampuero;Udalla;43°19′07″N 3°26′48″O;RI-51-0004969;2 de noviembre de 1983;Principal: Church of Santa Marina, Udalla
Iglesia Románica de San Andrés;Monumento;Arquitectura religiosa;Estilo: Románico;Anievas;Cotillo;43°12′07″N 4°00′06″O;RI-51-0004567;15 de enero de 1982;Principal: Church of San Andrés, Cotillo
Iglesia de Nuestra Señora de la Asunción;Monumento;Iglesia;;Arnuero;Arnuero;43°28′22″N 3°33′47″O;RI-51-0005266;18 de marzo de 1993;Principal: Church of Nuestra Señora de la Asunción, Arnuero
Iglesia Parroquial de San Pelayo;Monumento;Iglesia;;Arredondo;Arredondo;43°16′29″N 3°36′07″O;RI-51-0005202;20 de julio de 1988;Principal: Church of San Pelayo, Arredondo
